HMMProfile	protein_id	evalue	Coverage	ProfileLength	ProfileStart	GeneLength	ProfileEnd	GeneStart	GeneEnd	Strain
CBM48.hmm	WP_144801379.1	3.60E-17	0.91	76	2	631	71	29	117	Maribacter sp. MAR_2009_72
GH13_9.hmm	WP_144801379.1	4.80E-156	0.99	301	2	631	301	184	483	Maribacter sp. MAR_2009_72
GT83.hmm	WP_144801455.1	6.20E-28	0.59	540	30	460	351	31	348	Maribacter sp. MAR_2009_72
GT51.hmm	WP_144801517.1	1.50E-57	0.98	177	4	753	177	69	247	Maribacter sp. MAR_2009_72
CBM9.hmm	WP_144801520.1	1.40E-18	0.88	182	2	732	163	38	209	Maribacter sp. MAR_2009_72
GH13_14.hmm	WP_144801808.1	5.70E-119	1	289	1	662	289	198	522	Maribacter sp. MAR_2009_72
GT28.hmm	WP_144801842.1	1.10E-46	0.99	157	1	362	157	193	349	Maribacter sp. MAR_2009_72
GH73.hmm	WP_144802116.1	1.00E-34	0.98	128	2	279	128	77	206	Maribacter sp. MAR_2009_72
GH3.hmm	WP_144802268.1	3.80E-50	0.95	216	7	764	213	180	433	Maribacter sp. MAR_2009_72
GH43_26.hmm	WP_144802339.1	5.50E-111	1	294	1	331	294	27	323	Maribacter sp. MAR_2009_72
GH113.hmm	WP_144802356.1	5.40E-78	0.99	306	3	807	306	496	802	Maribacter sp. MAR_2009_72
GT19.hmm	WP_144802439.1	3.80E-123	0.98	354	2	373	349	4	350	Maribacter sp. MAR_2009_72
GH113.hmm	WP_144802463.1	1.80E-114	0.99	306	1	336	305	23	326	Maribacter sp. MAR_2009_72
CBM67.hmm	WP_144802475.1	1.10E-32	0.94	176	1	815	166	48	230	Maribacter sp. MAR_2009_72
GH78.hmm	WP_144802475.1	8.70E-92	0.98	504	6	815	502	288	792	Maribacter sp. MAR_2009_72
GT2_Glyco_tranf_2_3.hmm	WP_144802480.1	5.00E-29	0.98	230	1	494	227	56	283	Maribacter sp. MAR_2009_72
CE1.hmm	WP_144802508.1	1.50E-17	0.85	227	4	305	198	64	273	Maribacter sp. MAR_2009_72
CE1.hmm	WP_144802541.1	4.30E-17	0.85	227	4	305	198	64	273	Maribacter sp. MAR_2009_72
GH13_38.hmm	WP_144802715.1	5.40E-179	0.99	375	1	590	374	31	426	Maribacter sp. MAR_2009_72
GH65.hmm	WP_144802718.1	2.60E-147	0.99	372	1	767	370	323	701	Maribacter sp. MAR_2009_72
GT2_Glycos_transf_2.hmm	WP_144802865.1	2.80E-25	0.98	170	2	242	168	6	171	Maribacter sp. MAR_2009_72
GT83.hmm	WP_144803014.1	3.20E-18	0.63	540	8	496	346	18	345	Maribacter sp. MAR_2009_72
GH13_4.hmm	WP_144803219.1	8.40E-181	1	400	2	646	400	104	502	Maribacter sp. MAR_2009_72
AA12.hmm	WP_144803592.1	4.70E-21	0.97	401	10	422	399	40	418	Maribacter sp. MAR_2009_72
GH23.hmm	WP_144803684.1	3.50E-25	0.87	135	2	547	120	180	314	Maribacter sp. MAR_2009_72
GT2_Glycos_transf_2.hmm	WP_144803718.1	1.30E-22	0.98	170	1	231	167	4	158	Maribacter sp. MAR_2009_72
GT51.hmm	WP_144803804.1	1.10E-57	0.99	177	1	782	176	68	245	Maribacter sp. MAR_2009_72
GH140.hmm	WP_144803841.1	5.70E-166	1	412	2	476	412	42	470	Maribacter sp. MAR_2009_72
GH74.hmm	WP_144803933.1	1.50E-16	0.39	233	22	1041	112	144	244	Maribacter sp. MAR_2009_72
GT2_Glycos_transf_2.hmm	WP_144803941.1	9.10E-29	0.96	170	1	478	165	123	290	Maribacter sp. MAR_2009_72
AA3.hmm	WP_144803966.1	3.90E-53	0.52	618	80	570	403	3	567	Maribacter sp. MAR_2009_72
AA3.hmm	WP_144803972.1	3.60E-47	0.51	618	87	568	400	4	560	Maribacter sp. MAR_2009_72
GH29.hmm	WP_144804253.1	9.00E-106	0.94	346	22	472	346	22	382	Maribacter sp. MAR_2009_72
CE12.hmm	WP_144804291.1	6.00E-68	0.99	210	2	410	210	161	365	Maribacter sp. MAR_2009_72
GH2.hmm	WP_144804293.1	4.00E-122	0.94	752	35	951	739	38	810	Maribacter sp. MAR_2009_72
CE12.hmm	WP_144804295.1	9.00E-61	0.99	210	1	503	209	29	248	Maribacter sp. MAR_2009_72
GH115.hmm	WP_144804297.1	6.40E-232	0.99	697	4	813	697	26	796	Maribacter sp. MAR_2009_72
GH28.hmm	WP_144804301.1	2.40E-70	0.97	325	7	493	321	80	465	Maribacter sp. MAR_2009_72
GH105.hmm	WP_144804307.1	1.30E-95	0.96	332	11	451	331	100	431	Maribacter sp. MAR_2009_72
GH105.hmm	WP_144804321.1	2.50E-88	0.98	332	6	374	332	53	372	Maribacter sp. MAR_2009_72
GH43_18.hmm	WP_144804323.1	4.50E-93	0.99	229	2	593	229	353	582	Maribacter sp. MAR_2009_72
CBM67.hmm	WP_144804325.1	1.60E-29	0.91	176	11	1211	172	400	577	Maribacter sp. MAR_2009_72
GH78.hmm	WP_144804325.1	7.10E-154	0.99	504	2	1211	503	612	1164	Maribacter sp. MAR_2009_72
GH1.hmm	WP_144804355.1	3.30E-151	0.98	429	3	448	425	9	447	Maribacter sp. MAR_2009_72
GH109.hmm	WP_144804365.1	1.80E-48	0.98	126	2	450	126	36	160	Maribacter sp. MAR_2009_72
GH109.hmm	WP_144804373.1	9.70E-23	0.97	126	2	462	124	54	168	Maribacter sp. MAR_2009_72
GT30.hmm	WP_144804467.1	3.10E-46	0.93	177	11	420	176	46	207	Maribacter sp. MAR_2009_72
CBM9.hmm	WP_144804497.1	1.10E-19	0.81	182	1	876	148	44	199	Maribacter sp. MAR_2009_72
GH13_18.hmm	WP_144804541.1	1.70E-114	1	343	1	484	343	34	377	Maribacter sp. MAR_2009_72
GT2_Glycos_transf_2.hmm	WP_144804616.1	8.40E-21	0.77	170	2	284	133	5	146	Maribacter sp. MAR_2009_72
GT5.hmm	WP_144804699.1	3.20E-116	0.99	472	3	511	470	5	508	Maribacter sp. MAR_2009_72
GT4.hmm	WP_144804759.1	1.40E-38	0.97	160	5	353	160	174	326	Maribacter sp. MAR_2009_72
GT26.hmm	WP_144804763.1	9.30E-48	0.94	171	7	233	168	54	214	Maribacter sp. MAR_2009_72
CE4.hmm	WP_144804767.1	9.80E-22	0.82	130	20	283	127	34	145	Maribacter sp. MAR_2009_72
GT2_Glycos_transf_2.hmm	WP_144804807.1	8.00E-23	0.69	170	1	304	118	10	123	Maribacter sp. MAR_2009_72
GT4.hmm	WP_144804817.1	1.00E-25	0.87	160	12	407	151	228	366	Maribacter sp. MAR_2009_72
GT4.hmm	WP_144804819.1	6.90E-31	0.96	160	6	362	160	178	336	Maribacter sp. MAR_2009_72
GT26.hmm	WP_144804825.1	7.70E-52	0.98	171	3	241	171	45	216	Maribacter sp. MAR_2009_72
GH78.hmm	WP_144804840.1	1.30E-100	0.99	504	6	759	503	188	718	Maribacter sp. MAR_2009_72
GH63.hmm	WP_144804897.1	4.10E-24	0.35	570	363	875	565	419	868	Maribacter sp. MAR_2009_72
GH140.hmm	WP_144805004.1	1.70E-86	1	412	1	495	411	31	488	Maribacter sp. MAR_2009_72
GH43_10.hmm	WP_144805008.1	1.90E-108	1	271	1	542	271	39	308	Maribacter sp. MAR_2009_72
GH28.hmm	WP_144805011.1	4.60E-86	0.94	325	6	473	310	80	456	Maribacter sp. MAR_2009_72
GH105.hmm	WP_144805018.1	4.00E-122	0.98	332	6	409	330	66	407	Maribacter sp. MAR_2009_72
GH105.hmm	WP_144805020.1	3.30E-119	0.98	332	6	414	331	67	413	Maribacter sp. MAR_2009_72
CE12.hmm	WP_144805026.1	4.10E-75	1	210	1	246	210	23	233	Maribacter sp. MAR_2009_72
GH43_34.hmm	WP_144805030.1	1.40E-99	0.99	280	1	725	279	419	706	Maribacter sp. MAR_2009_72
GH51.hmm	WP_144805032.1	2.80E-138	0.72	630	85	515	540	24	511	Maribacter sp. MAR_2009_72
GH109.hmm	WP_144805060.1	6.60E-17	0.89	126	2	458	114	39	156	Maribacter sp. MAR_2009_72
GT2_Glycos_transf_2.hmm	WP_144805203.1	2.30E-20	0.57	170	1	272	98	7	105	Maribacter sp. MAR_2009_72
GT2_Glycos_transf_2.hmm	WP_144805205.1	1.40E-19	0.82	170	2	264	142	10	141	Maribacter sp. MAR_2009_72
GH20.hmm	WP_144805219.1	2.10E-107	0.97	337	9	537	335	175	488	Maribacter sp. MAR_2009_72
GT83.hmm	WP_144805240.1	8.90E-75	0.88	540	6	552	483	3	487	Maribacter sp. MAR_2009_72
CBM9.hmm	WP_144805255.1	5.40E-31	0.99	182	2	244	182	40	242	Maribacter sp. MAR_2009_72
GH109.hmm	WP_144805257.1	1.30E-19	0.96	126	2	442	123	41	158	Maribacter sp. MAR_2009_72
GH88.hmm	WP_144805339.1	1.90E-126	0.98	329	6	396	328	70	390	Maribacter sp. MAR_2009_72
GT2_Glycos_transf_2.hmm	WP_144805358.1	7.70E-24	0.76	170	2	378	132	141	275	Maribacter sp. MAR_2009_72
GH5_42.hmm	WP_144805364.1	1.20E-118	1	254	1	508	254	220	473	Maribacter sp. MAR_2009_72
GH109.hmm	WP_144805442.1	2.70E-17	0.9	126	1	480	114	38	144	Maribacter sp. MAR_2009_72
GH5_2.hmm	WP_144805472.1	2.20E-102	0.99	237	2	354	237	72	307	Maribacter sp. MAR_2009_72
GH3.hmm	WP_144805512.1	7.50E-63	0.98	216	4	518	215	89	317	Maribacter sp. MAR_2009_72
GH144.hmm	WP_144805544.1	4.20E-181	0.99	404	2	450	403	33	447	Maribacter sp. MAR_2009_72
GH28.hmm	WP_144805573.1	8.70E-62	0.94	325	5	489	309	36	383	Maribacter sp. MAR_2009_72
CE1.hmm	WP_144805576.1	4.70E-20	0.91	227	1	374	208	36	228	Maribacter sp. MAR_2009_72
GH20.hmm	WP_144805582.1	1.50E-122	0.97	337	9	772	336	160	513	Maribacter sp. MAR_2009_72
CBM9.hmm	WP_144805583.1	2.60E-43	0.84	182	1	336	154	31	207	Maribacter sp. MAR_2009_72
GH29.hmm	WP_144805584.1	1.20E-75	0.84	346	48	750	338	69	403	Maribacter sp. MAR_2009_72
CBM32.hmm	WP_144805584.1	5.90E-22	0.9	124	10	750	122	625	747	Maribacter sp. MAR_2009_72
GH138.hmm	WP_144805591.1	6.50E-108	0.73	907	18	722	676	8	686	Maribacter sp. MAR_2009_72
CBM48.hmm	WP_144805606.1	1.70E-18	0.92	76	3	597	73	11	92	Maribacter sp. MAR_2009_72
GH13_9.hmm	WP_144805606.1	3.50E-80	0.99	301	1	597	299	148	447	Maribacter sp. MAR_2009_72
GH32.hmm	WP_144805610.1	2.90E-101	0.98	293	1	513	287	38	343	Maribacter sp. MAR_2009_72
GT9.hmm	WP_144805636.1	1.80E-30	0.86	225	2	335	196	59	281	Maribacter sp. MAR_2009_72
GH33.hmm	WP_144805647.1	2.10E-37	0.92	342	15	349	330	38	338	Maribacter sp. MAR_2009_72
GH106.hmm	WP_144805650.1	3.10E-264	0.99	824	9	930	823	54	925	Maribacter sp. MAR_2009_72
GH16_3.hmm	WP_144805655.1	5.50E-61	0.77	230	54	238	230	68	237	Maribacter sp. MAR_2009_72
PL1_2.hmm	WP_144805676.1	2.30E-76	0.99	183	1	467	183	64	255	Maribacter sp. MAR_2009_72
PL10_1.hmm	WP_144805678.1	9.30E-114	0.99	288	1	655	287	47	336	Maribacter sp. MAR_2009_72
CE8.hmm	WP_144805678.1	2.50E-97	0.98	288	2	655	285	363	645	Maribacter sp. MAR_2009_72
GT2_Glycos_transf_2.hmm	WP_027064397.1	4.20E-21	0.84	170	2	264	144	10	143	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_027064420.1	1.70E-29	0.86	170	1	319	148	10	148	Maribacter stanieri DSM19891
CBM9.hmm	WP_027064426.1	7.00E-35	0.99	182	2	244	182	40	242	Maribacter stanieri DSM19891
AA3.hmm	WP_027065318.1	7.30E-54	0.52	618	80	570	403	3	567	Maribacter stanieri DSM19891
GH109.hmm	WP_027065386.1	3.00E-16	0.93	126	3	485	120	49	159	Maribacter stanieri DSM19891
GH145.hmm	WP_027065473.1	1.10E-22	0.95	296	9	462	290	50	359	Maribacter stanieri DSM19891
GT5.hmm	WP_027065790.1	8.80E-45	0.47	472	1	269	222	5	236	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_027065881.1	1.40E-27	0.96	170	2	242	166	6	169	Maribacter stanieri DSM19891
GH3.hmm	WP_027066478.1	2.20E-56	0.98	216	5	969	216	99	325	Maribacter stanieri DSM19891
GT2_Glyco_tranf_2_3.hmm	WP_027066969.1	3.90E-23	1	230	1	476	230	61	332	Maribacter stanieri DSM19891
GH23.hmm	WP_027067353.1	6.10E-22	0.91	135	5	318	128	106	241	Maribacter stanieri DSM19891
GH15.hmm	WP_027067379.1	1.60E-72	0.98	361	5	600	360	222	582	Maribacter stanieri DSM19891
AA3.hmm	WP_027067617.1	6.60E-59	0.52	618	83	573	404	3	571	Maribacter stanieri DSM19891
GH73.hmm	WP_091900499.1	2.10E-34	0.98	128	2	274	128	76	205	Maribacter stanieri DSM19891
PL17.hmm	WP_091900580.1	1.10E-52	0.99	139	1	746	138	405	540	Maribacter stanieri DSM19891
CBM48.hmm	WP_091900648.1	2.30E-17	0.93	76	3	598	74	11	93	Maribacter stanieri DSM19891
GH13_9.hmm	WP_091900648.1	7.70E-78	0.99	301	1	598	299	148	447	Maribacter stanieri DSM19891
GH3.hmm	WP_091900667.1	1.70E-52	0.96	216	6	764	213	179	433	Maribacter stanieri DSM19891
CE1.hmm	WP_091900675.1	2.80E-19	0.61	227	6	284	145	35	171	Maribacter stanieri DSM19891
PL38.hmm	WP_091900693.1	1.10E-91	0.99	279	3	413	279	84	357	Maribacter stanieri DSM19891
GH113.hmm	WP_091900705.1	1.90E-77	0.99	306	3	771	306	460	766	Maribacter stanieri DSM19891
GT19.hmm	WP_091900761.1	1.90E-125	0.99	354	2	373	352	4	353	Maribacter stanieri DSM19891
GH32.hmm	WP_091900774.1	3.30E-100	0.97	293	1	527	286	52	357	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091900778.1	3.50E-21	0.92	170	1	234	158	9	177	Maribacter stanieri DSM19891
CBM67.hmm	WP_091900790.1	1.00E-30	0.94	176	1	814	167	48	231	Maribacter stanieri DSM19891
GH78.hmm	WP_091900790.1	1.10E-90	0.99	504	5	814	502	287	792	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091900792.1	1.80E-21	0.77	170	2	229	133	6	136	Maribacter stanieri DSM19891
GT2_Glyco_tranf_2_3.hmm	WP_091900794.1	1.30E-27	0.98	230	1	494	227	56	283	Maribacter stanieri DSM19891
GH13_38.hmm	WP_091900847.1	6.90E-178	0.99	375	1	591	374	31	426	Maribacter stanieri DSM19891
GH65.hmm	WP_091900849.1	1.80E-145	0.99	372	1	767	371	323	702	Maribacter stanieri DSM19891
GT83.hmm	WP_091901110.1	3.30E-19	0.64	540	5	494	348	17	347	Maribacter stanieri DSM19891
GH13_4.hmm	WP_091901234.1	1.10E-178	1	400	2	646	400	104	502	Maribacter stanieri DSM19891
CE4.hmm	WP_091901388.1	1.10E-20	0.92	130	5	324	124	37	175	Maribacter stanieri DSM19891
AA12.hmm	WP_091901469.1	4.40E-19	0.97	401	12	421	399	43	417	Maribacter stanieri DSM19891
AA2.hmm	WP_091901539.1	4.30E-16	0.44	255	6	747	117	85	198	Maribacter stanieri DSM19891
GH23.hmm	WP_091901564.1	3.30E-25	0.87	135	2	543	120	176	310	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091901584.1	4.50E-37	0.78	170	1	252	133	8	145	Maribacter stanieri DSM19891
GT9.hmm	WP_091901601.1	1.00E-29	0.89	225	2	334	202	59	287	Maribacter stanieri DSM19891
GT51.hmm	WP_091901671.1	8.00E-58	0.99	177	1	781	176	67	244	Maribacter stanieri DSM19891
GH74.hmm	WP_091901762.1	8.60E-16	0.37	233	26	1041	112	148	244	Maribacter stanieri DSM19891
AA3.hmm	WP_091901802.1	1.50E-47	0.51	618	87	567	401	4	561	Maribacter stanieri DSM19891
GH63.hmm	WP_091901876.1	1.90E-53	0.36	570	362	437	566	33	435	Maribacter stanieri DSM19891
GH74.hmm	WP_091901952.1	7.20E-16	0.36	233	40	1051	123	233	317	Maribacter stanieri DSM19891
GT26.hmm	WP_091902045.1	5.10E-51	0.98	171	3	254	171	55	226	Maribacter stanieri DSM19891
GT4.hmm	WP_091902052.1	1.20E-24	0.91	160	7	392	153	210	355	Maribacter stanieri DSM19891
CBM9.hmm	WP_091902118.1	2.50E-43	0.84	182	1	367	154	49	225	Maribacter stanieri DSM19891
GH109.hmm	WP_091902134.1	1.60E-47	0.98	126	2	450	126	36	160	Maribacter stanieri DSM19891
GH109.hmm	WP_091902142.1	1.40E-23	0.98	126	2	463	125	54	169	Maribacter stanieri DSM19891
GT30.hmm	WP_091902192.1	9.50E-46	0.94	177	10	415	176	45	207	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091902381.1	1.70E-19	0.76	170	2	284	132	5	142	Maribacter stanieri DSM19891
GT5.hmm	WP_091902486.1	9.40E-112	0.99	472	3	511	469	5	507	Maribacter stanieri DSM19891
GH63.hmm	WP_091902579.1	1.40E-23	0.35	570	363	875	565	419	868	Maribacter stanieri DSM19891
GH63.hmm	WP_091902584.1	9.70E-23	0.36	570	364	875	567	425	872	Maribacter stanieri DSM19891
GH78.hmm	WP_091902637.1	8.80E-95	0.99	504	1	611	502	38	575	Maribacter stanieri DSM19891
GH109.hmm	WP_091902638.1	6.90E-16	0.9	126	2	451	115	45	155	Maribacter stanieri DSM19891
GH115.hmm	WP_091902641.1	7.40E-29	0.72	697	16	684	519	35	597	Maribacter stanieri DSM19891
GH92.hmm	WP_091902642.1	7.50E-144	0.99	491	6	774	490	242	772	Maribacter stanieri DSM19891
GH29.hmm	WP_091902643.1	8.00E-90	0.88	346	38	431	344	23	314	Maribacter stanieri DSM19891
GH3.hmm	WP_091902644.1	1.00E-68	0.98	216	3	854	215	61	303	Maribacter stanieri DSM19891
GH115.hmm	WP_091902646.1	2.10E-229	0.91	697	3	999	639	37	739	Maribacter stanieri DSM19891
GH88.hmm	WP_091902653.1	2.60E-123	0.98	329	4	393	328	70	390	Maribacter stanieri DSM19891
GH109.hmm	WP_091902731.1	6.10E-17	0.96	126	1	381	122	7	127	Maribacter stanieri DSM19891
GH78.hmm	WP_091902732.1	2.40E-101	0.99	504	3	1173	502	600	1133	Maribacter stanieri DSM19891
AA3.hmm	WP_091902735.1	1.30E-47	0.51	618	86	565	403	5	562	Maribacter stanieri DSM19891
GH105.hmm	WP_091902736.1	2.90E-79	0.98	332	5	367	332	47	362	Maribacter stanieri DSM19891
CBM67.hmm	WP_091902738.1	6.60E-40	0.88	176	16	920	170	169	339	Maribacter stanieri DSM19891
GH78.hmm	WP_091902738.1	4.20E-166	1	504	1	920	503	363	873	Maribacter stanieri DSM19891
GH78.hmm	WP_091902739.1	4.40E-97	0.97	504	6	583	497	89	578	Maribacter stanieri DSM19891
GH109.hmm	WP_091902774.1	1.40E-23	0.93	126	1	449	118	43	156	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091902807.1	1.10E-20	0.57	170	1	272	98	7	105	Maribacter stanieri DSM19891
GH20.hmm	WP_091902813.1	1.10E-103	0.97	337	9	537	335	175	488	Maribacter stanieri DSM19891
GT83.hmm	WP_091902821.1	4.80E-73	0.89	540	6	552	485	3	489	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091902875.1	2.90E-24	0.95	170	2	379	163	142	305	Maribacter stanieri DSM19891
GH5_42.hmm	WP_091902878.1	4.70E-122	1	254	1	513	254	222	476	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091902881.1	1.00E-23	0.98	170	2	388	169	151	320	Maribacter stanieri DSM19891
PL6.hmm	WP_091902910.1	1.20E-129	0.99	372	2	773	371	29	413	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091902947.1	5.50E-29	0.96	170	1	466	165	112	278	Maribacter stanieri DSM19891
GH1.hmm	WP_091902957.1	1.70E-152	0.99	429	3	445	427	4	444	Maribacter stanieri DSM19891
GH16_3.hmm	WP_091902962.1	8.90E-61	0.76	230	56	238	230	70	237	Maribacter stanieri DSM19891
CBM9.hmm	WP_091902964.1	1.30E-19	0.81	182	1	876	148	44	199	Maribacter stanieri DSM19891
CBM67.hmm	WP_091902990.1	3.30E-39	0.94	176	3	901	169	129	306	Maribacter stanieri DSM19891
GH78.hmm	WP_091902990.1	5.80E-187	0.99	504	3	901	504	333	854	Maribacter stanieri DSM19891
AA7.hmm	WP_091903076.1	9.00E-93	0.99	458	4	463	458	36	459	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091903173.1	2.20E-26	0.98	170	1	335	167	6	170	Maribacter stanieri DSM19891
GH13_19.hmm	WP_091903220.1	3.10E-81	0.62	360	136	563	360	181	429	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091903248.1	4.30E-31	0.75	170	1	319	129	4	134	Maribacter stanieri DSM19891
GT20.hmm	WP_091903263.1	2.90E-176	0.97	475	13	737	473	2	470	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091903293.1	3.80E-16	0.76	170	1	234	131	3	125	Maribacter stanieri DSM19891
GH109.hmm	WP_091903306.1	2.20E-23	0.98	126	1	376	125	6	120	Maribacter stanieri DSM19891
CE14.hmm	WP_091903310.1	1.30E-22	0.99	124	1	274	124	36	154	Maribacter stanieri DSM19891
AA3.hmm	WP_091903348.1	9.20E-49	0.51	618	85	566	401	9	561	Maribacter stanieri DSM19891
GH2.hmm	WP_091903380.1	1.10E-226	0.97	752	19	1063	751	59	942	Maribacter stanieri DSM19891
GH29.hmm	WP_091903532.1	1.70E-72	0.84	346	48	754	338	71	405	Maribacter stanieri DSM19891
CBM32.hmm	WP_091903532.1	2.50E-18	0.86	124	15	754	122	632	750	Maribacter stanieri DSM19891
GH130.hmm	WP_091903598.1	1.30E-76	0.93	296	9	374	285	61	372	Maribacter stanieri DSM19891
GH109.hmm	WP_091903605.1	1.50E-23	0.94	126	2	457	120	41	157	Maribacter stanieri DSM19891
GH85.hmm	WP_091903660.1	2.70E-89	0.98	315	5	637	314	90	395	Maribacter stanieri DSM19891
GH28.hmm	WP_091903697.1	7.30E-43	0.65	325	68	510	279	227	445	Maribacter stanieri DSM19891
GH29.hmm	WP_091903707.1	1.90E-115	0.92	346	27	450	346	22	366	Maribacter stanieri DSM19891
GH141.hmm	WP_091903709.1	5.00E-56	0.99	527	2	789	523	25	543	Maribacter stanieri DSM19891
PL40.hmm	WP_091903711.1	2.30E-237	0.99	873	1	933	861	1	913	Maribacter stanieri DSM19891
GH97.hmm	WP_091903712.1	4.10E-149	0.99	631	6	668	630	21	661	Maribacter stanieri DSM19891
CE1.hmm	WP_091903714.1	2.00E-54	0.96	227	1	277	219	31	262	Maribacter stanieri DSM19891
GH88.hmm	WP_091903720.1	1.90E-126	0.98	329	6	400	329	67	386	Maribacter stanieri DSM19891
CBM57.hmm	WP_091903757.1	6.00E-41	0.99	147	1	2470	147	1225	1369	Maribacter stanieri DSM19891
PL40.hmm	WP_091903821.1	3.30E-250	0.94	873	23	897	843	15	885	Maribacter stanieri DSM19891
GH109.hmm	WP_091903881.1	1.30E-16	0.95	126	1	478	121	36	149	Maribacter stanieri DSM19891
GH5_2.hmm	WP_091903912.1	5.60E-104	1	237	1	357	237	75	311	Maribacter stanieri DSM19891
GH3.hmm	WP_091903953.1	6.60E-63	0.97	216	5	521	215	90	317	Maribacter stanieri DSM19891
CE1.hmm	WP_091903966.1	6.80E-28	0.9	227	4	238	208	34	217	Maribacter stanieri DSM19891
GT4.hmm	WP_091903999.1	1.40E-36	0.94	160	6	379	156	195	342	Maribacter stanieri DSM19891
GT4.hmm	WP_091904021.1	5.00E-22	0.71	160	10	373	124	200	314	Maribacter stanieri DSM19891
GT4.hmm	WP_091904023.1	7.80E-36	0.94	160	6	363	157	185	335	Maribacter stanieri DSM19891
CE1.hmm	WP_091904150.1	8.10E-17	0.86	227	12	219	207	11	201	Maribacter stanieri DSM19891
GT2_Glycos_transf_2.hmm	WP_091904156.1	3.40E-33	0.98	170	1	335	167	7	172	Maribacter stanieri DSM19891
GH43_1.hmm	WP_091904229.1	5.00E-164	1	310	1	339	310	22	331	Maribacter stanieri DSM19891
GH10.hmm	WP_091904233.1	3.60E-107	0.99	303	2	384	302	42	377	Maribacter stanieri DSM19891
GH67.hmm	WP_091904237.1	7.40E-291	1	669	2	723	668	24	696	Maribacter stanieri DSM19891
GT27.hmm	WP_091904312.1	2.80E-22	0.79	295	2	333	236	5	231	Maribacter stanieri DSM19891
PL7_5.hmm	WP_091904349.1	8.80E-69	0.91	267	22	354	266	62	344	Maribacter stanieri DSM19891
GH3.hmm	WP_091904384.1	8.40E-70	0.99	216	3	756	216	94	315	Maribacter stanieri DSM19891
CE1.hmm	WP_091904386.1	1.30E-27	0.6	227	6	263	142	36	189	Maribacter stanieri DSM19891
GH144.hmm	WP_091904388.1	6.20E-184	0.99	404	2	450	403	33	447	Maribacter stanieri DSM19891
GH144.hmm	WP_091904390.1	3.50E-188	0.99	404	2	452	403	37	447	Maribacter stanieri DSM19891
CE14.hmm	WP_091904406.1	5.40E-23	0.99	124	1	295	124	28	138	Maribacter stanieri DSM19891
CE14.hmm	WP_091904493.1	2.80E-17	0.91	124	1	843	114	45	157	Maribacter stanieri DSM19891
CE14.hmm	WP_091904510.1	4.60E-25	0.99	124	1	238	124	6	111	Maribacter stanieri DSM19891
CE11.hmm	WP_091904589.1	2.40E-75	0.85	271	1	466	231	8	239	Maribacter stanieri DSM19891
GH2.hmm	WP_091904649.1	2.00E-105	0.57	752	17	602	442	26	526	Maribacter stanieri DSM19891
PL7_5.hmm	WP_091904774.1	5.90E-70	0.9	267	25	368	265	67	348	Maribacter stanieri DSM19891
PL7.hmm	WP_091904952.1	4.90E-60	1	231	1	302	231	51	302	Maribacter stanieri DSM19891
GT28.hmm	WP_091905200.1	2.90E-47	0.99	157	1	362	157	193	349	Maribacter stanieri DSM19891
GH74.hmm	WP_091905212.1	6.60E-17	0.61	233	44	1038	185	238	375	Maribacter stanieri DSM19891
GH13_14.hmm	WP_091905224.1	2.10E-119	1	289	1	660	289	196	520	Maribacter stanieri DSM19891
PL7.hmm	WP_091905288.1	2.40E-51	1	231	1	305	231	59	305	Maribacter stanieri DSM19891
GT83.hmm	WP_091905417.1	6.60E-29	0.63	540	13	457	351	13	347	Maribacter stanieri DSM19891
GH31.hmm	WP_091905515.1	9.80E-167	1	427	1	800	427	229	673	Maribacter stanieri DSM19891
CBM9.hmm	WP_091905583.1	1.70E-20	0.88	182	2	732	162	38	208	Maribacter stanieri DSM19891
GT51.hmm	WP_091905587.1	4.30E-56	0.98	177	4	753	177	69	247	Maribacter stanieri DSM19891
CBM48.hmm	WP_091905598.1	1.30E-17	0.89	76	2	631	70	29	116	Maribacter stanieri DSM19891
GH13_9.hmm	WP_091905598.1	8.80E-156	1	301	1	631	301	183	483	Maribacter stanieri DSM19891
PL33_2.hmm	WP_143099078.1	2.10E-38	0.98	151	1	613	149	402	546	Maribacter stanieri DSM19891
CBM57.hmm	WP_143099105.1	4.60E-27	0.97	147	4	3008	146	1464	1611	Maribacter stanieri DSM19891
GT51.hmm	WP_047244729.1	5.90E-57	0.97	177	4	755	176	69	246	Maribacter thermophilus HT7-2
